trip_id,tempo_de_viagem_segundos,stop_id_origem,stop_id_destino
4_I12-001_2023I12_1_1_4__1___,190.0,par_4_263,par_4_262
4_I12-001_2023I12_1_1_4__1___,127.0,par_4_262,par_4_261
4_I12-001_2023I12_1_1_4__1___,182.0,par_4_261,par_4_1
4_I12-001_2023I12_1_1_4__1___,81.0,par_4_1,par_4_2
4_I12-001_2023I12_1_1_4__1___,87.0,par_4_2,par_4_3
4_I12-001_2023I12_1_1_4__1___,120.0,par_4_3,par_4_4
4_I12-001_2023I12_1_1_4__1___,85.0,par_4_4,par_4_5
4_I12-001_2023I12_1_1_4__1___,68.0,par_4_5,par_4_6
4_I12-001_2023I12_1_1_4__1___,81.0,par_4_6,par_4_7
4_I12-001_2023I12_1_1_4__1___,117.0,par_4_7,par_4_8
4_I12-001_2023I12_1_1_4__1___,111.0,par_4_8,par_4_9
4_I12-001_2023I12_1_1_4__1___,75.0,par_4_9,par_4_10
4_I12-001_2023I12_1_1_4__1___,109.0,par_4_10,par_4_11
4_I12-001_2023I12_1_1_4__1___,51.0,par_4_11,par_4_12
4_I12-001_2023I12_1_1_4__1___,106.0,par_4_12,par_4_13
4_I12-001_2023I12_1_1_4__1___,77.0,par_4_13,par_4_14
4_I12-001_2023I12_1_1_4__1___,107.0,par_4_14,par_4_15
4_I12-001_2023I12_1_1_4__1___,48.0,par_4_15,par_4_16
4_I12-001_2023I12_1_1_4__1___,111.0,par_4_16,par_4_17
4_I12-001_2023I12_1_1_4__1___,85.0,par_4_17,par_4_18
4_I12-001_2023I12_1_1_4__1___,111.0,par_4_18,par_4_19
4_I12-001_2023I12_1_1_4__1___,74.0,par_4_19,par_4_20
4_I12-001_2023I12_1_1_4__1___,91.0,par_4_20,par_4_21
4_I12-001_2023I12_1_1_4__1___,88.0,par_4_21,par_4_22
4_I12-001_2023I12_1_1_4__1___,103.0,par_4_22,par_4_23
4_I12-001_2023I12_1_1_4__1___,100.0,par_4_23,par_4_24
4_I12-001_2023I12_1_1_4__1___,209.0,par_4_24,par_4_25
4_I12-001_2023I12_1_1_4__1___,79.0,par_4_25,par_4_26
4_I12-001_2023I12_1_1_4__1___,126.0,par_4_26,par_4_27
4_I12-001_2023I12_1_1_4__1___,107.0,par_4_27,par_4_293
4_I12-001_2023I12_1_1_4__1___,214.0,par_4_293,par_4_294
4_I12-001_2023I12_1_1_4__1___,102.0,par_4_294,par_4_295
4_I12-001_2023I12_2_1_4__1___,102.0,par_4_295,par_4_294
4_I12-001_2023I12_2_1_4__1___,215.0,par_4_294,par_4_293
4_I12-001_2023I12_2_1_4__1___,107.0,par_4_293,par_4_27
4_I12-001_2023I12_2_1_4__1___,125.0,par_4_27,par_4_26
4_I12-001_2023I12_2_1_4__1___,80.0,par_4_26,par_4_25
4_I12-001_2023I12_2_1_4__1___,209.0,par_4_25,par_4_24
4_I12-001_2023I12_2_1_4__1___,99.0,par_4_24,par_4_23
4_I12-001_2023I12_2_1_4__1___,103.0,par_4_23,par_4_22
4_I12-001_2023I12_2_1_4__1___,89.0,par_4_22,par_4_21
4_I12-001_2023I12_2_1_4__1___,90.0,par_4_21,par_4_20
4_I12-001_2023I12_2_1_4__1___,74.0,par_4_20,par_4_19
4_I12-001_2023I12_2_1_4__1___,112.0,par_4_19,par_4_18
4_I12-001_2023I12_2_1_4__1___,84.0,par_4_18,par_4_17
4_I12-001_2023I12_2_1_4__1___,111.0,par_4_17,par_4_16
4_I12-001_2023I12_2_1_4__1___,49.0,par_4_16,par_4_15
4_I12-001_2023I12_2_1_4__1___,107.0,par_4_15,par_4_14
4_I12-001_2023I12_2_1_4__1___,76.0,par_4_14,par_4_13
4_I12-001_2023I12_2_1_4__1___,107.0,par_4_13,par_4_12
4_I12-001_2023I12_2_1_4__1___,51.0,par_4_12,par_4_11
4_I12-001_2023I12_2_1_4__1___,109.0,par_4_11,par_4_10
4_I12-001_2023I12_2_1_4__1___,75.0,par_4_10,par_4_9
4_I12-001_2023I12_2_1_4__1___,111.0,par_4_9,par_4_8
4_I12-001_2023I12_2_1_4__1___,116.0,par_4_8,par_4_7
4_I12-001_2023I12_2_1_4__1___,81.0,par_4_7,par_4_6
4_I12-001_2023I12_2_1_4__1___,69.0,par_4_6,par_4_5
4_I12-001_2023I12_2_1_4__1___,84.0,par_4_5,par_4_4
4_I12-001_2023I12_2_1_4__1___,120.0,par_4_4,par_4_3
4_I12-001_2023I12_2_1_4__1___,88.0,par_4_3,par_4_2
4_I12-001_2023I12_2_1_4__1___,81.0,par_4_2,par_4_1
4_I12-001_2023I12_2_1_4__1___,182.0,par_4_1,par_4_261
4_I12-001_2023I12_2_1_4__1___,126.0,par_4_261,par_4_262
4_I12-001_2023I12_2_1_4__1___,190.0,par_4_262,par_4_263
4_I12-002_2023I12_1_1_4__2___,129.0,par_4_325,par_4_324
4_I12-002_2023I12_1_1_4__2___,162.0,par_4_324,par_4_323
4_I12-002_2023I12_1_1_4__2___,212.0,par_4_323,par_4_322
4_I12-002_2023I12_1_1_4__2___,164.0,par_4_322,par_4_260
4_I12-002_2023I12_1_1_4__2___,211.0,par_4_260,par_4_28
4_I12-002_2023I12_1_1_4__2___,92.0,par_4_28,par_4_29
4_I12-002_2023I12_1_1_4__2___,94.0,par_4_29,par_4_30
4_I12-002_2023I12_1_1_4__2___,62.0,par_4_30,par_4_31
4_I12-002_2023I12_1_1_4__2___,80.0,par_4_31,par_4_32
4_I12-002_2023I12_1_1_4__2___,111.0,par_4_32,par_4_33
4_I12-002_2023I12_1_1_4__2___,68.0,par_4_33,par_4_34
4_I12-002_2023I12_1_1_4__2___,51.0,par_4_34,par_4_35
4_I12-002_2023I12_1_1_4__2___,73.0,par_4_35,par_4_36
4_I12-002_2023I12_1_1_4__2___,64.0,par_4_36,par_4_37
4_I12-002_2023I12_1_1_4__2___,61.0,par_4_37,par_4_38
4_I12-002_2023I12_1_1_4__2___,93.0,par_4_38,par_4_39
4_I12-002_2023I12_1_1_4__2___,42.0,par_4_39,par_4_40
4_I12-002_2023I12_1_1_4__2___,105.0,par_4_40,par_4_41
4_I12-002_2023I12_1_1_4__2___,113.0,par_4_41,par_4_42
4_I12-002_2023I12_2_1_4__2___,112.0,par_4_42,par_4_41
4_I12-002_2023I12_2_1_4__2___,106.0,par_4_41,par_4_40
4_I12-002_2023I12_2_1_4__2___,42.0,par_4_40,par_4_39
4_I12-002_2023I12_2_1_4__2___,93.0,par_4_39,par_4_38
4_I12-002_2023I12_2_1_4__2___,60.0,par_4_38,par_4_37
4_I12-002_2023I12_2_1_4__2___,65.0,par_4_37,par_4_36
4_I12-002_2023I12_2_1_4__2___,73.0,par_4_36,par_4_35
4_I12-002_2023I12_2_1_4__2___,51.0,par_4_35,par_4_34
4_I12-002_2023I12_2_1_4__2___,68.0,par_4_34,par_4_33
4_I12-002_2023I12_2_1_4__2___,111.0,par_4_33,par_4_32
4_I12-002_2023I12_2_1_4__2___,79.0,par_4_32,par_4_31
4_I12-002_2023I12_2_1_4__2___,63.0,par_4_31,par_4_30
4_I12-002_2023I12_2_1_4__2___,93.0,par_4_30,par_4_29
4_I12-002_2023I12_2_1_4__2___,93.0,par_4_29,par_4_28
4_I12-002_2023I12_2_1_4__2___,210.0,par_4_28,par_4_260
4_I12-002_2023I12_2_1_4__2___,164.0,par_4_260,par_4_322
4_I12-002_2023I12_2_1_4__2___,213.0,par_4_322,par_4_323
4_I12-002_2023I12_2_1_4__2___,162.0,par_4_323,par_4_324
4_I12-002_2023I12_2_1_4__2___,129.0,par_4_324,par_4_325
4_I12-003_2023I12_1_1_4__3___,247.0,par_4_273,par_4_272
4_I12-003_2023I12_1_1_4__3___,154.0,par_4_272,par_4_271
4_I12-003_2023I12_1_1_4__3___,143.0,par_4_271,par_4_270
4_I12-003_2023I12_1_1_4__3___,165.0,par_4_270,par_4_269
4_I12-003_2023I12_1_1_4__3___,88.0,par_4_269,par_4_268
4_I12-003_2023I12_1_1_4__3___,150.0,par_4_268,par_4_267
4_I12-003_2023I12_1_1_4__3___,147.0,par_4_267,par_4_43
4_I12-003_2023I12_1_1_4__3___,112.0,par_4_43,par_4_44
4_I12-003_2023I12_1_1_4__3___,71.0,par_4_44,par_4_45
4_I12-003_2023I12_1_1_4__3___,113.0,par_4_45,par_4_46
4_I12-003_2023I12_1_1_4__3___,67.0,par_4_46,par_4_47
4_I12-003_2023I12_1_1_4__3___,140.0,par_4_47,par_4_48
4_I12-003_2023I12_1_1_4__3___,64.0,par_4_48,par_4_49
