stop_id,stop_name,stop_lat,stop_lon
par_4_1,PLAZA DE CASTILLA,40.4669,-3.68917
par_4_10,TRIBUNAL,40.42619,-3.7011
par_4_11,GRAN VIA,40.42001,-3.7018
par_4_12,SOL,40.41688,-3.70326
par_4_13,TIRSO DE MOLINA,40.41235,-3.70466
par_4_14,ANTON MARTIN,40.41246,-3.69937
par_4_15,ESTACION DEL ARTE,40.40885,-3.69249
par_4_16,ATOCHA,40.40659,-3.68938
par_4_17,MENENDEZ PELAYO,40.40445,-3.68098
par_4_18,PACIFICO,40.40126,-3.67514
par_4_19,PUENTE DE VALLECAS,40.39819,-3.66906
par_4_2,VALDEACEDERAS,40.46442,-3.69506
par_4_20,NUEVA NUMANCIA,40.39554,-3.66414
par_4_21,PORTAZGO,40.39266,-3.65868
par_4_22,BUENOS AIRES,40.39156,-3.65391
par_4_23,ALTO DEL ARENAL,40.38977,-3.64522
par_4_24,MIGUEL HERNANDEZ,40.38732,-3.63951
par_4_25,SIERRA DE GUADALUPE,40.38216,-3.62472
par_4_26,VILLA DE VALLECAS,40.3796,-3.6213
par_4_261,CHAMARTIN,40.47203,-3.68259
par_4_262,BAMBU,40.47682,-3.67637
par_4_263,PINAR DE CHAMARTIN,40.48014,-3.6668
par_4_27,CONGOSTO,40.37238,-3.61884
par_4_293,LA GAVIA,40.37019,-3.61346
par_4_294,LAS SUERTES,40.36323,-3.59953
par_4_295,VALDECARROS,40.36007,-3.59316
par_4_3,TETUAN,40.46055,-3.69825
par_4_4,ESTRECHO,40.45429,-3.70302
par_4_5,ALVARADO,40.45033,-3.70331
par_4_6,CUATRO CAMINOS,40.44697,-3.70397
par_4_7,RIOS ROSAS,40.44198,-3.70133
par_4_8,IGLESIA,40.43492,-3.69898
par_4_9,BILBAO,40.42906,-3.70218
par_4_260,LA ELIPA,40.42662,-3.65052
par_4_28,VENTAS,40.43088,-3.66366
par_4_29,MANUEL BECERRA,40.4279,-3.66926
par_4_30,GOYA,40.42455,-3.67591
par_4_31,PRINCIPE DE VERGARA,40.42294,-3.68012
par_4_32,RETIRO,40.42031,-3.68624
par_4_322,LA ALMUDENA,40.42361,-3.63914
par_4_323,ALSACIA,40.41829,-3.62351
par_4_324,AVENIDA DE GUADALAJARA,40.42239,-3.61206
par_4_325,LAS ROSAS,40.42375,-3.60331
par_4_33,BANCO DE ESPAÑA,40.41922,-3.69497
par_4_34,SEVILLA,40.41805,-3.69925
par_4_35,SOL,40.41685,-3.70326
par_4_36,OPERA,40.41809,-3.70942
par_4_37,SANTO DOMINGO,40.42132,-3.70796
par_4_38,NOVICIADO,40.42484,-3.70742
par_4_39,SAN BERNARDO,40.43001,-3.70557
par_4_40,QUEVEDO,40.43322,-3.70433
par_4_41,CANAL,40.43841,-3.70433
par_4_42,CUATRO CAMINOS,40.44697,-3.70392
par_4_267,ALMENDRALES,40.38409,-3.69788
par_4_268,HOSPITAL 12 DE OCTUBRE,40.37503,-3.69585
par_4_269,SAN FERMIN-ORCASUR,40.36999,-3.69418
par_4_270,CIUDAD DE LOS ANGELES,40.35959,-3.69363
par_4_271,VILLAVERDE BAJO CRUCE,40.35089,-3.69265
par_4_272,SAN CRISTOBAL,40.34154,-3.69318
par_4_273,VILLAVERDE ALTO,40.34123,-3.71199
par_4_43,LEGAZPI,40.39116,-3.69511
par_4_44,DELICIAS,40.3999,-3.6942
par_4_45,PALOS DE LA FRONTERA,40.40307,-3.69423
par_4_46,EMBAJADORES,40.40513,-3.70268
par_4_47,LAVAPIES,40.40851,-3.7009
par_4_48,SOL,40.41682,-3.70326
par_4_49,CALLAO,40.42014,-3.70566
par_4_50,PLAZA DE ESPAÑA,40.42342,-3.7112
par_4_51,VENTURA RODRIGUEZ,40.42709,-3.71341
par_4_52,ARGÜELLES,40.43066,-3.71596
par_4_53,MONCLOA,40.43502,-3.71945
par_4_264,HORTALEZA,40.47537,-3.65257
par_4_265,MANOTERAS,40.47687,-3.6629
par_4_266,PINAR DE CHAMARTIN,40.48014,-3.66676
par_4_54,ARGÜELLES,40.4306,-3.71596
par_4_55,SAN BERNARDO,40.42966,-3.70567
par_4_56,BILBAO,40.42885,-3.70114
par_4_57,ALONSO MARTINEZ,40.42772,-3.69594
par_4_58,COLON,40.42542,-3.69101
par_4_59,SERRANO,40.42543,-3.68663
par_4_60,VELAZQUEZ,40.42503,-3.68292
par_4_61,GOYA,40.42481,-3.67685
par_4_62,LISTA,40.42917,-3.67541
par_4_63,DIEGO DE LEON,40.43468,-3.67495
par_4_64,AVENIDA DE AMERICA,40.43803,-3.67664
par_4_65,PROSPERIDAD,40.44419,-3.67482
par_4_66,ALFONSO XIII,40.44825,-3.66791
par_4_67,AVENIDA DE LA PAZ,40.45354,-3.66118
par_4_68,ARTURO SORIA,40.45583,-3.65618
par_4_69,ESPERANZA,40.45945,-3.64582
par_4_70,CANILLAS,40.46381,-3.6356
par_4_71,MAR DE CRISTAL,40.46943,-3.63832
par_4_72,SAN LORENZO,40.47447,-3.63958
par_4_73,PARQUE DE SANTA MARIA,40.47711,-3.64524
par_4_100,ALUCHE,40.38563,-3.7608
par_4_101,EMPALME,40.39057,-3.76535
par_4_102,CAMPAMENTO,40.39481,-3.76813
par_4_103,CASA DE CAMPO,40.40324,-3.76101
par_4_252,ALAMEDA DE OSUNA,40.45779,-3.58752
par_4_253,EL CAPRICHO,40.45347,-3.59401
par_4_74,CANILLEJAS,40.44942,-3.60816
par_4_75,TORRE ARIAS,40.44374,-3.61699
par_4_76,SUANZES,40.44085,-3.62684
par_4_77,CIUDAD LINEAL,40.43805,-3.63816
par_4_78,PUEBLO NUEVO,40.43569,-3.64282
par_4_79,QUINTANA,40.43358,-3.64736
par_4_80,EL CARMEN,40.43189,-3.65757
par_4_81,VENTAS,40.43088,-3.66361
